Id,Date,Title,Short Description
95686,2018-03-15,Adobe tops estimates on higher Creative Cloud subscriptions,"Adobe Systems Inc <ADBE.O> topped analysts' profit and revenue estimates for the seventh straight quarter on higher subscriptions for its Creative Cloud suite of software, and pointed to rising average revenue per user."
285,2018-03-15,Photoshop maker Adobe's revenue rises 24 percent,"Adobe Systems Inc's quarterly revenue rose nearly 24 percent, led by higher subscriptions for its flagship Creative Cloud product that houses Photoshop."
6368,2018-03-02,BRIEF-Adobe Systems Says CEO's 2017 Total Compensation Was $21.9 Mln,* ADOBE SYSTEMS INC SAYS CHAIRMAN AND CEO SHANTANU NARAYEN'S FY 2017 TOTAL COMPENSATION WAS $21.9 MILLION VERSUS $20 MILLION IN FY 2016 - SEC FILING
95679,2018-01-22,Adobe lifts profit forecast on tax reform boost,"Photoshop maker Adobe Systems Inc <ADBE.O> on Monday lifted its adjusted profit forecast for the current quarter and the full year, saying it expects its effective tax rate to decline ""substantially"" due to the recently enacted U.S. tax reforms."
95685,2017-12-14,Adobe profit beats on digital media business strength,"Photoshop maker Adobe Systems Inc <ADBE.O> on Thursday reported a better-than-expected quarterly revenue and profit, driven by strength in its digital media business, which houses its flagship product Creative Cloud."
95688,2017-10-18,"Adobe forecasts FY18 profit above estimates, shares surge","Photoshop maker Adobe Systems Inc forecast better-than-expected revenue and profit for fiscal 2018 due to growth in its cloud business, sending its shares up 8 percent in extended trading."
95681,2017-10-16,Adobe warns that hackers are exploiting its Flash software,"Adobe Systems Inc <ADBE.O> warned on Monday that hackers are exploiting vulnerabilities in its Flash multimedia software platform in web browsers, and the company urged users to quickly patch their systems to prevent such attacks."
6365,2017-06-21,BRIEF-Adobe Systems Inc says it has acquired all Skybox Technology from Mettle,* Adobe Systems Inc- announced it has acquired all Skybox Technology from Mettle
6364,2017-06-13,BRIEF-Adobe Stock debuts new editorial collection and next gen search capability,* Adobe Stock debuts new editorial collection and next gen search capability Source text for Eikon: Further company coverage:
95678,2017-03-21,"Adobe, Microsoft team up to share sales and marketing data","Microsoft Corp and Adobe Systems Inc are joining to make their respective sales and marketing software products more potent competitors to Salesforce.com Inc and Oracle Corp offerings, the two firms said Monday."
