Date,GOOGL,AAPL,MSFT
04/01/2024,150.77000427246094,172.27999877929688,428.739990234375
04/02/2024,150.07000732421875,170.85000610351562,422.8599853515625
04/03/2024,150.6699981689453,169.7100067138672,421.6499938964844
04/04/2024,150.8699951171875,173.30999755859375,421.42999267578125
04/05/2024,150.92999267578125,171.47999572753906,420.7200012207031
04/06/2024,155.49000549316406,170.02999877929688,424.57000732421875
04/07/2024,154.55999755859375,168.83999633789062,421.44000244140625
04/08/2024,154.9199981689453,169.64999389648438,420.45001220703125
04/09/2024,150.52999877929688,168.82000732421875,417.8800048828125
04/10/2024,152.5,169.5800018310547,425.5199890136719
04/11/2024,154.85000610351562,168.4499969482422,424.5899963378906
04/12/2024,156.60000610351562,169.6699981689453,426.2799987792969
04/13/2024,156.13999938964844,167.77999877929688,423.260009765625
04/14/2024,159.41000366210938,175.0399932861328,427.92999267578125
04/15/2024,157.72999572753906,176.5500030517578,421.8999938964844
04/16/2024,154.86000061035156,172.69000244140625,413.6400146484375
04/17/2024,154.39999389648438,169.3800048828125,414.5799865722656
04/18/2024,155.47000122070312,168.0,411.8399963378906
04/19/2024,156.00999450683594,167.0399932861328,404.2699890136719
04/20/2024,154.08999633789062,165.0,399.1199951171875
04/21/2024,145.17409,161.80423,401.8819
04/22/2024,144.29599,163.79268,401.40298
04/23/2024,143.6163,164.8075,400.38986
